tipo,codigo,tipoPergunta,obrigatoria,outro,descricao,bloco,pergunta,,,
A,8,,,,Ayrton Senna,,34,,,
A,9,,,,Borges de Medeiros,,34,,,
A,10,,,,Castelo Branco,,34,,,
A,11,,,,CEEBJA,,34,,,
A,12,,,,CESTOL,,34,,,
A,13,,,,Dario Vellozo,,34,,,
A,14,,,,Egon Werner Bercht,,34,,,
A,15,,,,Favaretto Covatti,,34,,,
A,16,,,,Franscisco Galdino de Lima,,34,,,
A,17,,,,Funet,,34,,,
A,18,,,,Germano Rhoden,,34,,,
A,19,,,,Harbor,,34,,,
A,20,,,,Incomar,,34,,,
P,35,alternativa,true ,true ,Escola de Idiomas,A,,,,
A,1,,,,Athus,,35,,,
A,2,,,,CCAA,,35,,,
A,3,,,,CDI,,35,,,
A,4,,,,CNT,,35,,,
A,5,,,,Cromática,,35,,,
A,6,,,,Fera,,35,,,
A,7,,,,Fisk,,35,,,
A,8,,,,Hispano,,35,,,
A,9,,,,Intus,,35,,,
A,10,,,,Master,,35,,,
A,11,,,,Pet Cursos,,35,,,
A,12,,,,Planeta,,35,,,
A,13,,,,Polys,,35,,,
A,14,,,,Rockfeller,,35,,,
A,15,,,,Speak,,35,,,
A,16,,,,Wizard,,35,,,
A,17,,,,Work,,35,,,
A,18,,,,Yazigi,,35,,,
P,36,alternativa,true ,true ,Escola de Música,A,,,,
A,1,,,,Arte Música,,36,,,
A,2,,,,Cromática,,36,,,
A,3,,,,Espaço Musical,,36,,,
A,4,,,,Groovesul,,36,,,
A,5,,,,Música e Cia,,36,,,
A,6,,,,Recanto da Música,,36,,,
P,37,alternativa,true ,true ,Escritório de Contabilidade,A,,,,
A,1,,,,Agil,,37,,,
A,2,,,,Alfa,,37,,,
A,3,,,,Alvorada,,37,,,
A,4,,,,Atual,,37,,,
A,5,,,,Bloot,,37,,,
A,6,,,,Danzer,,37,,,
A,7,,,,Decisão,,37,,,
A,8,,,,Deskon,,37,,,
A,9,,,,Donasolo,,37,,,
A,10,,,,Eco Contabilidade,,37,,,
A,11,,,,Escalla,,37,,,
A,12,,,,Exatus,,37,,,
A,13,,,,Exito,,37,,,
A,14,,,,Falk,,37,,,
A,15,,,,Ficagna,,37,,,
A,16,,,,Gruber,,37,,,
A,17,,,,Heis,,37,,,
A,18,,,,Idealize,,37,,,
P,38,alternativa,true ,true ,Estofaria e Tapeçaria,A,,,,
A,1,,,,Aurora,,38,,,
A,2,,,,Art's,,38,,,
A,3,,,,Brum,,38,,,
A,4,,,,Caio Estofados,,38,,,
A,5,,,,Casa Conforto,,38,,,
A,6,,,,Corcino,,38,,,
A,7,,,,Daco,,38,,,
A,8,,,,Dois Irmãos,,38,,,
A,9,,,,Imperial,,38,,,
A,10,,,,JB Estofados,,38,,,
A,11,,,,Lorini,,38,,,
A,12,,,,Master,,38,,,
A,13,,,,Otavio,,38,,,
A,14,,,,Penteado,,38,,,
A,15,,,,Queiroz,,38,,,
A,16,,,,Rodrigo,,38,,,
A,17,,,,Stillu's,,38,,,
P,39,alternativa,true ,true ,Fábrica de Carrocerias e Caçambas,A,,,,
A,1,,,,BR Carrocerias,,39,,,
A,2,,,,Carrocerias Bonaldo,,39,,,
A,3,,,,Carrocerias São José,,39,,,
A,4,,,,HMM Hidráulica,,39,,,
A,5,,,,RS Soldas,,39,,,
P,40,alternativa,true ,true ,Fábrica de Móveis / Marcenaria,A,,,,
A,1,,,,Armazém Moveis,,40,,,
A,2,,,,Art Projetos,,40,,,
A,3,,,,Cadeiras Rosa,,40,,,
A,4,,,,Limberger,,40,,,
A,5,,,,Mallman,,40,,,
A,6,,,,Meotti,,40,,,
A,7,,,,Modilac,,40,,,
A,8,,,,Prisma Design,,40,,,
A,9,,,,São Pedro,,40,,,
A,10,,,,Simbella,,40,,,
A,11,,,,Universal Office,,40,,,
A,12,,,,Valcarengui,,40,,,
A,13,,,,Zimmermann,,40,,,
P,41,alternativa,true ,true ,Farmácia,A,,,,
A,1,,,,A Farmacêutica,,41,,,
A,2,,,,Barão,,41,,,
A,3,,,,Bio Farma,,41,,,
